District,HASC
Ganderbal,IN.JK.GA
Gandhinagar,IN.GJ.GA
Ganganagar,IN.RJ.GA
Ganjam,IN.OR.GN
Garhwa,IN.JH.GA
Gariaband,IN.CT.GB
Gautam Buddha Nagar,IN.UP.GB
Gaya,IN.BR.GA
Ghaziabad,IN.UP.GH
Ghazipur,IN.UP.GP
Giridih,IN.JH.GI
Gir Somnath,IN.GJ.GS
Goalpara,IN.AS.GP
Godda,IN.JH.GO
Golaghat,IN.AS.GG
Gomati,IN.TR.GM
Gonda,IN.UP.GN
Gondiya,IN.MH.GO
Gopalganj,IN.BR.GO
Gorakhpur,IN.UP.GR
Gulbarga,IN.KA.GB
Gumla,IN.JH.GM
Guna,IN.MP.GN
Guntur,IN.AD.GU
Gurdaspur,IN.PB.GD
Gurgaon,IN.HR.GG
Gwalior,IN.MP.GW
Hailakandi,IN.AS.HA
Hamirpur,IN.HP.HA
Hamirpur,IN.UP.HM
Hanumangarh,IN.RJ.HA
Hapur,IN.UP.HP
Harda,IN.MP.HA
Hardoi,IN.UP.HR
Haridwar,IN.UT.HA
Hassan,IN.KA.HS
Hathras,IN.UP.HT
Haveri,IN.KA.HV
Hazaribagh,IN.JH.HZ
Hingoli,IN.MH.HI
Hissar,IN.HR.HI
Hojai,IN.AS.HJ
Hooghly,IN.WB.HG
Hoshangabad,IN.MP.HO
Hoshiarpur,IN.PB.HO
Howrah,IN.WB.HR
Hyderabad,IN.TG.HY
Idukki,IN.KL.ID
Indore,IN.MP.IN
Jabalpur,IN.MP.JA
Jagatsinghpur,IN.OR.JS
Jaipur,IN.RJ.JP
Jaisalmer,IN.RJ.JS
Jajpur,IN.OR.JP
Jalandhar,IN.PB.JA
Jalaun,IN.UP.JL
Jalgaon,IN.MH.JG
Jalna,IN.MH.JN
Jalore,IN.RJ.JL
Jalpaiguri,IN.WB.JP
Jammu,IN.JK.JM
Jamnagar,IN.GJ.JM
Jamtara,IN.JH.JA
Jamui,IN.BR.JA
Janjgir-Champa,IN.CT.JC
Jashpur,IN.CT.JA
Jaunpur,IN.UP.JU
Jehanabad,IN.BR.JH
Jhabua,IN.MP.JB
Jhajjar,IN.HR.JH
Jhalawar,IN.RJ.JW
Jhansi,IN.UP.JH
Jharsuguda,IN.OR.JH
Jhunjhunun,IN.RJ.JJ
Jind,IN.HR.JI
Jodhpur,IN.RJ.JO
Jorhat,IN.AS.JO
Junagadh,IN.GJ.JG
Kachchh,IN.GJ.KA
Kaimur,IN.BR.KM
Kaithal,IN.HR.KT
Kalahandi,IN.OR.KL
Kamrup,IN.AS.KU
Kamrup Metropolitan,IN.AS.KM
Kancheepuram,IN.TN.KC
Kandhamal,IN.OR.KN
Kangra,IN.HP.KA
Kanker,IN.CT.KK
Kannauj,IN.UP.KJ
Kannur,IN.KL.KN
Kanpur,IN.UP.KN
Kanpur Dehat,IN.UP.KD
Kanyakumari,IN.TN.KK
Kapurthala,IN.PB.KA
Karaikal,IN.PY.KA
Karauli,IN.RJ.KA
Karbi Anglong,IN.AS.KG
Kargil,IN.JK.KR
Karimganj,IN.AS.KR
Karimnagar,IN.TG.KA
Karnal,IN.HR.KR
Karur,IN.TN.KR
Kasargod,IN.KL.KS
Kasganj,IN.UP.KM
Kathua,IN.JK.KA
Katihar,IN.BR.KT
Katni,IN.MP.KA
Kaushambi,IN.UP.KS
Kawardha,IN.CT.KW
Kendrapara,IN.OR.KP
Keonjhar,IN.OR.KJ
Khagaria,IN.BR.KH
Khammam,IN.TG.KH
Kheda,IN.GJ.KD
Khordha,IN.OR.KH
Khowai,IN.TR.KW
Khunti,IN.JH.KH
Kinnaur,IN.HP.KI
Kiphire,IN.NL.KP
Kishanganj,IN.BR.KI
Kishtwar,IN.JK.KW
Koch Bihar,IN.WB.KB
Kodagu,IN.KA.KD
Koderma,IN.JH.KO
Kohima,IN.NL.KH
Kokrajhar,IN.AS.KJ
