District,HASC
Idukki,IN.KL.ID
Indore,IN.MP.IN
Jabalpur,IN.MP.JA
Jagatsinghpur,IN.OR.JS
Jaintia Hills,IN.ML.JH
Jaipur,IN.RJ.JP
Jaisalmer,IN.RJ.JS
Jajpur,IN.OR.JP
Jalandhar,IN.PB.JA
Jalaun,IN.UP.JL
Jalgaon,IN.MH.JG
Jalna,IN.MH.JN
Jalore,IN.RJ.JL
Jalpaiguri,IN.WB.JA
Jammu,IN.JK.JA
Jamnagar,IN.GJ.JA
Jamui,IN.BR.JA
Janjgir-Champa,IN.CT.JC
Jashpur,IN.CT.JA
Jaunpur,IN.UP.JU
Jehanabad,IN.BR.JE
Jhabua,IN.MP.JH
Jhajjar,IN.HR.JH
Jhalawar,IN.RJ.JW
Jhansi,IN.UP.JH
Jharsuguda,IN.OR.JH
Jhunjhunun,IN.RJ.JJ
Jind,IN.HR.JI
Jodhpur,IN.RJ.JO
Jorhat,IN.AS.JO
Junagadh,IN.GJ.JU
Jyotiba Phule Nagar,IN.UP.JP
Kachchh,IN.GJ.KA
Kaimur,IN.BR.KM
Kaithal,IN.HR.KT
Kalahandi,IN.OR.KL
Kamrup,IN.AS.KP
Kancheepuram,IN.TN.KC
Kandhamal,IN.OR.KN
Kangra,IN.HP.KA
Kanker,IN.CT.KK
Kannauj,IN.UP.KJ
Kannur,IN.KL.KN
Kanpur,IN.UP.KN
Kanpur Dehat,IN.UP.KD
Kanyakumari,IN.TN.KK
Kapurthala,IN.PB.KA
Karaikal,IN.PY.KA
Karauli,IN.RJ.KA
Karbi Anglong,IN.AS.KA
Kargil,IN.JK.KR
Karimganj,IN.AS.KR
Karimnagar,IN.AP.KA
Karnal,IN.HR.KR
Karur,IN.TN.KR
Kasargod,IN.KL.KS
Kathua,IN.JK.KT
Katihar,IN.BR.KT
Katni,IN.MP.KA
Kaushambi,IN.UP.KS
Kawardha,IN.CT.KW
Kendrapara,IN.OR.KP
Keonjhar,IN.OR.KJ
Khagaria,IN.BR.KH
Khammam,IN.AP.KH
Kheda,IN.GJ.KH
Khordha,IN.OR.KH
Kinnaur,IN.HP.KI
Kishanganj,IN.BR.KI
Koch Bihar,IN.WB.KB
Kodagu,IN.KA.KD
Koderma,IN.JH.KO
Kohima,IN.NL.KO
Kokrajhar,IN.AS.KK
Kolar,IN.KA.KL
Kolasib,IN.MZ.KO
Kolhapur,IN.MH.KO
Kolkata,IN.WB.KO
Kollam,IN.KL.KL
Koppal,IN.KA.KP
Koraput,IN.OR.KO
Korba,IN.CT.KB
Koriya,IN.CT.KJ
Kota,IN.RJ.KO
Kottayam,IN.KL.KT
Kozhikode,IN.KL.KZ
Krishna,IN.AP.KR
Kulu,IN.HP.KU
Kupwara,IN.JK.KU
Kurnool,IN.AP.KU
Kurukshetra,IN.HR.KU
Kushinagar,IN.UP.KU
Lahaul and Spiti,IN.HP.LS
Lakhimpur,IN.AS.LA
Lakhimpur Kheri,IN.UP.LK
Lakhisarai,IN.BR.LA
Lakshadweep,IN.LD.LD
Lalitpur,IN.UP.LA
Latur,IN.MH.LA
Lawngtlai,IN.MZ.LA
Leh,IN.JK.LE
Lohardaga,IN.JH.LO
Lohit,IN.AR.LO
Lower Subansiri,IN.AR.LB
Lucknow,IN.UP.LU
Ludhiana,IN.PB.LU
Lunglei,IN.MZ.LU
Madhepura,IN.BR.MP
Madhubani,IN.BR.MB
Madurai,IN.TN.MA
Maharajganj,IN.UP.MG
Mahasamund,IN.CT.MA
Mahbubnagar,IN.AP.MA
Mahe,IN.PY.MA
Mahendragarh,IN.HR.MA
Mahesana,IN.GJ.MA
Mahoba,IN.UP.MH
Mainpuri,IN.UP.MP
Malappuram,IN.KL.MA
Malda,IN.WB.MA
Malkangiri,IN.OR.ML
Mamit,IN.MZ.MA
Mandi,IN.HP.MA
Mandla,IN.MP.ML
Mandsaur,IN.MP.MS
Mandya,IN.KA.MA
Mansa,IN.PB.MA
Marigaon,IN.AS.MA
Mathura,IN.UP.MT
Maunathbhanjan,IN.UP.MB
Mayurbhanj,IN.OR.MY
Medak,IN.AP.ME
Meerut,IN.UP.ME
Midnapore,IN.WB.ME
Mirzapur,IN.UP.MI
Moga,IN.PB.MO
Mokokchung,IN.NL.MK
Mon,IN.NL.MN
Moradabad,IN.UP.MO
Morena,IN.MP.MO
Muktsar,IN.PB.MU
Mumbai City,IN.MH.MC
Mumbai Suburban,IN.MH.MU
Munger,IN.BR.MG
Murshidabad,IN.WB.MU
Muzaffarnagar,IN.UP.MU
Muzaffarpur,IN.BR.MZ
Mysore,IN.KA.MY
Nabarangpur,IN.OR.NB
Nadia,IN.WB.NA
Nagaon,IN.AS.NG
Nagapattinam,IN.TN.NG
Nagaur,IN.RJ.NA
Nagpur,IN.MH.NG
Nainital,IN.UT.NA
Nalanda,IN.BR.NL
Nalbari,IN.AS.NL
Nalgonda,IN.AP.NA
Namakkal,IN.TN.NM
Nanded,IN.MH.ND
Nandurbar,IN.MH.NB
Narmada,IN.GJ.NR
Narsinghpur,IN.MP.NA
Nashik,IN.MH.NS
Navsari,IN.GJ.NV
Nawada,IN.BR.NW
Nawan Shehar,IN.PB.NS
Nayagarh,IN.OR.NY
Neemuch,IN.MP.NE
Nellore,IN.AP.NE
Nicobar Islands,IN.AN.NI
Nilgiris,IN.TN.NI
Nizamabad,IN.AP.NI
North Cachar Hills,IN.AS.NC
North Goa,IN.GA.NG
North Sikkim,IN.SK.NS
North Tripura,IN.TR.NT
Nuapada,IN.OR.NU
Osmanabad,IN.MH.OS
Pakur,IN.JH.PK
Palakkad,IN.KL.PL
Palamu,IN.JH.PL
Pali,IN.RJ.PA
Panchkula,IN.HR.PK
Panch Mahals,IN.GJ.PM
Panipat,IN.HR.PP
Panna,IN.MP.PA
Papum Pare,IN.AR.PA
Parbhani,IN.MH.PA
Pashchim Champaran,IN.BR.WC
Pashchim Singhbhum,IN.JH.WS
Patan,IN.GJ.PA
Pathanamthitta,IN.KL.PT
Patiala,IN.PB.PA
Patna,IN.BR.PA
Pauri Garhwal,IN.UT.PG
Perambalur,IN.TN.PE
Phek,IN.NL.PH
Pilibhit,IN.UP.PI
Pithoragarh,IN.UT.PI
Pondicherry,IN.PY.PO
Poonch,IN.JK.PO
Porbandar,IN.GJ.PO
Prakasam,IN.AP.PR
Pratapgarh,IN.UP.PR
Pudukkottai,IN.TN.PU
Pulwama,IN.JK.PU
Pune,IN.MH.PU
Purba Champaran,IN.BR.EC
Purba Singhbhum,IN.JH.ES
Puri,IN.OR.PU
Purnia,IN.BR.PU
Purulia,IN.WB.PU
Rae Bareli,IN.UP.RB
Raichur,IN.KA.RA
Raigarh,IN.CT.RG
Raigarh,IN.MH.RG
Raipur,IN.CT.RP
Raisen,IN.MP.RS
Rajauri,IN.JK.RA
Rajgarh,IN.MP.RG
Rajkot,IN.GJ.RA
Rajnandgaon,IN.CT.RN
Rajsamand,IN.RJ.RA
Ramanathapuram,IN.TN.RA
Rampur,IN.UP.RA
Ranchi,IN.JH.RA
Rangareddi,IN.AP.RA
Ratlam,IN.MP.RL
Ratnagiri,IN.MH.RT
Rayagada,IN.OR.RA
Rewa,IN.MP.RE
Rewari,IN.HR.RE
Ri-Bhoi,IN.ML.RB
Rohtak,IN.HR.RO
Rohtas,IN.BR.RO
Rudra Prayag,IN.UT.RP
Rupnagar,IN.PB.RU
Sabar Kantha,IN.GJ.SK
Sagar,IN.MP.SG
Saharanpur,IN.UP.SA
Saharsa,IN.BR.SH
Sahibganj,IN.JH.SA
Saiha,IN.MZ.SA
Salem,IN.TN.SA
Samastipur,IN.BR.SM
Sambalpur,IN.OR.SA
Sangli,IN.MH.SN
Sangrur,IN.PB.SA
Sant Kabir Nagar,IN.UP.SK
Sant Ravi Das Nagar,IN.UP.SR
Saran,IN.BR.SR
Satara,IN.MH.ST
Satna,IN.MP.ST
Sawai Madhopur,IN.RJ.SM
Sehore,IN.MP.SR
Senapati,IN.MN.SE
Seoni,IN.MP.SO
Serchhip,IN.MZ.SE
Shahdol,IN.MP.SH
Shahjahanpur,IN.UP.SJ
Shajapur,IN.MP.SJ
Sheikhpura,IN.BR.SP
Sheohar,IN.BR.SO
Sheopur,IN.MP.SP
Shimla,IN.HP.SH
Shimoga,IN.KA.SH
Shivpuri,IN.MP.SV
Shravasti,IN.UP.SV
Sibsagar,IN.AS.SI
Siddharth Nagar,IN.UP.SN
Sidhi,IN.MP.SI
Sikar,IN.RJ.SK
Sindhudurg,IN.MH.SI
Sirmaur,IN.HP.SI
Sirohi,IN.RJ.SR
Sirsa,IN.HR.SI
Sitamarhi,IN.BR.ST
Sitapur,IN.UP.SI
Sivaganga,IN.TN.SI
Siwan,IN.BR.SW
Solan,IN.HP.SO
Solapur,IN.MH.SO
Sonbhadra,IN.UP.SO
Sonepat,IN.HR.SO
Sonepur,IN.OR.SO
Sonitpur,IN.AS.SO
South Garo Hills,IN.ML.SG
South Goa,IN.GA.SG
South Sikkim,IN.SK.SS
South Tripura,IN.TR.ST
Srikakulam,IN.AP.SR
Srinagar,IN.JK.SR
Sultanpur,IN.UP.SU
Sundargarh,IN.OR.SU
Supaul,IN.BR.SU
Surat,IN.GJ.ST
Surendranagar,IN.GJ.SN
Surguja,IN.CT.SU
Tamenglong,IN.MN.TA
Tawang,IN.AR.TA
Tehri Garhwal,IN.UT.TG
Thane,IN.MH.TH
Thanjavur,IN.TN.TJ
The Dangs,IN.GJ.DG
Theni,IN.TN.TH
Thiruvallur,IN.TN.TL
Thiruvananthapuram,IN.KL.TV
Thiruvarur,IN.TN.TR
Thoothukudi,IN.TN.TK
Thoubal,IN.MN.TH
Thrissur,IN.KL.TS
Tikamgarh,IN.MP.TI
Tinsukia,IN.AS.TI
Tirap,IN.AR.TI
Tiruchirappalli,IN.TN.TC
Tirunelveli,IN.TN.TI
Tiruvannamalai,IN.TN.TV
Tonk,IN.RJ.TO
Tuensang,IN.NL.TU
Tumkur,IN.KA.TU
24 Parganas North,IN.WB.PN
24 Parganas South,IN.WB.PS
Udaipur,IN.RJ.UD
Udhampur,IN.JK.UD
Udham Singh Nagar,IN.UT.US
Udupi,IN.KA.UD
Ujjain,IN.MP.UJ
Ukhrul,IN.MN.UK
Umaria,IN.MP.UM
Una,IN.HP.UN
Unnao,IN.UP.UN
Upper Siang,IN.AR.US
Upper Subansiri,IN.AR.UB
Uttara Kannada,IN.KA.UK
Uttar Dinajpur,IN.WB.UD
Uttarkashi,IN.UT.UT
Vadodara,IN.GJ.VD
Vaishali,IN.BR.VA
Valsad,IN.GJ.VL
Varanasi,IN.UP.VA
Vellore,IN.TN.VE
Vidisha,IN.MP.VI
Villupuram,IN.TN.VL
Virudhunagar,IN.TN.VR
Vishakhapatnam,IN.AP.VS
Vizianagaram,IN.AP.VZ
Warangal,IN.AP.WA
Wardha,IN.MH.WR
Washim,IN.MH.WS
Wayanad,IN.KL.WA
West Garo Hills,IN.ML.WG
West Godavari,IN.AP.WG
West Imphal,IN.MN.WI
West Kameng,IN.AR.WK
West Khasi Hills,IN.ML.WK
West Nimar,IN.MP.WN
West Siang,IN.AR.WS
West Sikkim,IN.SK.WS
West Tripura,IN.TR.WT
Wokha,IN.NL.WO
Yamuna Nagar,IN.HR.YN
Yanam,IN.PY.YA
Yavatmal,IN.MH.YA
Zunheboto,IN.NL.ZU
Adilabad,IN.TG.AD
Agra,IN.UP.AG
Ahmedabad,IN.GJ.AH
Ahmednagar,IN.MH.AH
Aizawl,IN.MZ.AI
Ajmer,IN.RJ.AJ
Akola,IN.MH.AK
Alappuzha,IN.KL.AL
Aligarh,IN.UP.AL
Alirajpur,IN.MP.AR
Allahabad,IN.UP.AH
Almora,IN.UT.AL
Alwar,IN.RJ.AL
Ambala,IN.HR.AM
Ambedkar Nagar,IN.UP.AN
Amravati,IN.MH.AM
Amreli,IN.GJ.AM
Amritsar,IN.PB.AR
Anand,IN.GJ.AN
Anantapur,IN.AD.AN
Anantnag,IN.JK.AG
Angul,IN.OR.AN
Anjaw,IN.AR.AJ
Anuppur,IN.MP.AP
Araria,IN.BR.AR
Ariyalur,IN.TN.AR
Arwal,IN.BR.AW
Ashoknagar,IN.MP.AN
Auraiya,IN.UP.AU
Aurangabad,IN.BR.AU
Aurangabad,IN.MH.AU
Azamgarh,IN.UP.AZ
Badaun,IN.UP.BD
Badgam,IN.JK.BD
Bagalkot,IN.KA.BK
Bageshwar,IN.UT.BA
Baghpat,IN.UP.BG
Bahraich,IN.UP.BH
Baksa,IN.AS.BK
Balaghat,IN.MP.BL
Baleshwar,IN.OR.BW
Ballia,IN.UP.BL
Balrampur,IN.UP.BP
Banas Kantha,IN.GJ.BK
Banda,IN.UP.BN
Bandipore,IN.JK.BP
Bangalore,IN.KA.BN
Bangalore Rural,IN.KA.BU
Banka,IN.BR.BA
Bankura,IN.WB.BN
Banswara,IN.RJ.BS
Barabanki,IN.UP.BB
Baragarh,IN.OR.BR
Baramula,IN.JK.BL
Baran,IN.RJ.BR
Bardhaman,IN.WB.BR
Bareilly,IN.UP.BR
Barmer,IN.RJ.BM
Barnala,IN.PB.BL
Barpeta,IN.AS.BP
Barwani,IN.MP.BR
Bastar,IN.CT.BT
Basti,IN.UP.BS
Bathinda,IN.PB.BA
Begusarai,IN.BR.BE
Belgaum,IN.KA.BG
Bellary,IN.KA.BL
Betul,IN.MP.BE
Bhadrak,IN.OR.BH
Bhagalpur,IN.BR.BG
Bhandara,IN.MH.BH
Bharatpur,IN.RJ.BP
Bharuch,IN.GJ.BR
Bhavnagar,IN.GJ.BV
Bhilwara,IN.RJ.BW
Bhind,IN.MP.BD
Bhiwani,IN.HR.BH
Bhojpur,IN.BR.BJ
Bhopal,IN.MP.BP
Bid,IN.MH.BI
Bidar,IN.KA.BD
Bijapur,IN.KA.BJ
Bijapur,IN.CT.BJ
Bijnor,IN.UP.BI
Bikaner,IN.RJ.BI
Bilaspur,IN.CT.BI
Bilaspur,IN.HP.BI
Birbhum,IN.WB.BI
Bishnupur,IN.MN.BI
Bokaro,IN.JH.BO
Bolangir,IN.OR.BL
Bongaigaon,IN.AS.BG
Boudh,IN.OR.BD
Bulandshahr,IN.UP.BU
Buldhana,IN.MH.BU
Bundi,IN.RJ.BU
Burhanpur,IN.MP.BU
Buxar,IN.BR.BU
Cachar,IN.AS.CA
Central,IN.DL.CE
Chamba,IN.HP.CH
Chamoli,IN.UT.CL
Champawat,IN.UT.CP
Champhai,IN.MZ.CH
Chamrajnagar,IN.KA.CJ
Chandauli,IN.UP.CD
Chandel,IN.MN.CD
Chandigarh,IN.CH.CH
Chandrapur,IN.MH.CH
Changlang,IN.AR.CH
Chatra,IN.JH.CH
Chennai,IN.TN.CH
Chhatarpur,IN.MP.CT
Chhindwara,IN.MP.CN
Chikballapura,IN.KA.CB
Chikmagalur,IN.KA.CK
Chirang,IN.AS.CH
Chitradurga,IN.KA.CT
Chitrakoot,IN.UP.CT
Chittoor,IN.AD.CH
Chittorgarh,IN.RJ.CH
Churachandpur,IN.MN.CC
Churu,IN.RJ.CR
Coimbatore,IN.TN.CM
Cuddalore,IN.TN.CU
Cuddapah,IN.AD.CU
Cuttack,IN.OR.CU
Dadra and Nagar Haveli,IN.DN.DN
Dahod,IN.GJ.DA
Dakshina Kannada,IN.KA.DK
Dakshin Dinajpur,IN.WB.DD
Daman,IN.DD.DA
Damoh,IN.MP.DM
Dantewada,IN.CT.DW
Darbhanga,IN.BR.DA
Darjeeling,IN.WB.DA
Darrang,IN.AS.DR
Datia,IN.MP.DT
Dausa,IN.RJ.DA
Davanagere,IN.KA.DA
Dehradun,IN.UT.DD
Deogarh,IN.OR.DE
Deoghar,IN.JH.DE
Deoria,IN.UP.DE
Dewas,IN.MP.DE
Dhalai,IN.TR.DH
Dhamtari,IN.CT.DH
Dhanbad,IN.JH.DH
Dhar,IN.MP.DH
Dharmapuri,IN.TN.DM
Dharwad,IN.KA.DH
Dhemaji,IN.AS.DM
Dhenkanal,IN.OR.DH
Dholpur,IN.RJ.DH
Dhubri,IN.AS.DB
Dhule,IN.MH.DH
Dibrugarh,IN.AS.DI
Dima Hasao,IN.AS.NC
Dimapur,IN.NL.DI
Dindigul,IN.TN.DI
Dindori,IN.MP.DI
Diu,IN.DD.DI
Doda,IN.JK.DD
Dumka,IN.JH.DM
Dungarpur,IN.RJ.DU
Durg,IN.CT.DU
East,IN.DL.EA
East Garo Hills,IN.ML.EG
East Godavari,IN.AD.EG
East Imphal,IN.MN.EI
East Kameng,IN.AR.EK
East Khasi Hills,IN.ML.EK
East Nimar,IN.MP.KW
East Siang,IN.AR.ES
East Sikkim,IN.SK.ES
Ernakulam,IN.KL.ER
Erode,IN.TN.ED
Etah,IN.UP.EH
Etawah,IN.UP.EW
Faizabad,IN.UP.FZ
Faridabad,IN.HR.FD
Faridkot,IN.PB.FR
Farrukhabad,IN.UP.FR
Fatehabad,IN.HR.FT
Fatehgarh Sahib,IN.PB.FT
Fatehpur,IN.UP.FT
Firozabad,IN.UP.FI
Firozpur,IN.PB.FI
Gadag,IN.KA.GA
Gadchiroli,IN.MH.GA
Gajapati,IN.OR.GP
Ganderbal,IN.JK.GA
Gandhinagar,IN.GJ.GA
Ganganagar,IN.RJ.GA
Ganjam,IN.OR.GN
Garhwa,IN.JH.GA
Gautam Buddha Nagar,IN.UP.GB
Gaya,IN.BR.GA
Ghaziabad,IN.UP.GZ
Ghazipur,IN.UP.GP
Giridih,IN.JH.GI
Goalpara,IN.AS.GP
Godda,IN.JH.GO
Golaghat,IN.AS.GG
Gonda,IN.UP.GN
Gondiya,IN.MH.GO
Gopalganj,IN.BR.GO
Gorakhpur,IN.UP.GR
Gulbarga,IN.KA.GB
Gumla,IN.JH.GM
Guna,IN.MP.GN
Guntur,IN.AD.GU
Gurdaspur,IN.PB.GU
Gurgaon,IN.HR.GG
Gwalior,IN.MP.GW
Hailakandi,IN.AS.HA
Hamirpur,IN.HP.HA
Hamirpur,IN.UP.HM
Hanumangarh,IN.RJ.HA
Harda,IN.MP.HA
Hardoi,IN.UP.HR
Haridwar,IN.UT.HA
Hassan,IN.KA.HS
Hathras,IN.UP.HT
Haveri,IN.KA.HV
Hazaribagh,IN.JH.HZ
Hingoli,IN.MH.HI
Hissar,IN.HR.HI
Hooghly,IN.WB.HG
Hoshangabad,IN.MP.HO
Hoshiarpur,IN.PB.HO
Howrah,IN.WB.HR
Hyderabad,IN.TG.HY
Idukki,IN.KL.ID
Indore,IN.MP.IN
Jabalpur,IN.MP.JA
Jagatsinghpur,IN.OR.JS
Jaintia Hills,IN.ML.JH
Jaipur,IN.RJ.JP
Jaisalmer,IN.RJ.JS
Jajpur,IN.OR.JP
Jalandhar,IN.PB.JA
Jalaun,IN.UP.JL
Jalgaon,IN.MH.JG
Jalna,IN.MH.JN
Jalore,IN.RJ.JL
Jalpaiguri,IN.WB.JA
Jammu,IN.JK.JM
Jamnagar,IN.GJ.JA
Jamtara,IN.JH.JA
Jamui,IN.BR.JA
Janjgir-Champa,IN.CT.JC
Jashpur,IN.CT.JA
Jaunpur,IN.UP.JU
Jehanabad,IN.BR.JH
Jhabua,IN.MP.JB
Jhajjar,IN.HR.JH
Jhalawar,IN.RJ.JW
Jhansi,IN.UP.JH
Jharsuguda,IN.OR.JH
Jhunjhunun,IN.RJ.JJ
Jind,IN.HR.JI
Jodhpur,IN.RJ.JO
Jorhat,IN.AS.JO
Junagadh,IN.GJ.JU
Jyotiba Phule Nagar,IN.UP.JP
Kachchh,IN.GJ.KA
Kaimur,IN.BR.KM
Kaithal,IN.HR.KT
Kalahandi,IN.OR.KL
Kamrup,IN.AS.KU
Kamrup Metropolitan,IN.AS.KM
Kancheepuram,IN.TN.KC
Kandhamal,IN.OR.KN
Kangra,IN.HP.KA
Kanker,IN.CT.KK
Kannauj,IN.UP.KJ
Kannur,IN.KL.KN
Kanpur,IN.UP.KN
Kanpur Dehat,IN.UP.KD
Kanshi Ram Nagar,IN.UP.KR
Kanyakumari,IN.TN.KK
Kapurthala,IN.PB.KA
Karaikal,IN.PY.KA
Karauli,IN.RJ.KA
Karbi Anglong,IN.AS.KA
Kargil,IN.JK.KR
Karimganj,IN.AS.KR
Karimnagar,IN.TG.KA
Karnal,IN.HR.KR
Karur,IN.TN.KR
Kasargod,IN.KL.KS
Kathua,IN.JK.KA
Katihar,IN.BR.KT
Katni,IN.MP.KA
Kaushambi,IN.UP.KS
Kawardha,IN.CT.KW
Kendrapara,IN.OR.KP
Keonjhar,IN.OR.KJ
Khagaria,IN.BR.KH
Khammam,IN.TG.KH
Kheda,IN.GJ.KH
Khordha,IN.OR.KH
Khunti,IN.JH.KH
Kinnaur,IN.HP.KI
Kiphire,IN.NL.KP
Kishanganj,IN.BR.KI
Kishtwar,IN.JK.KW
Koch Bihar,IN.WB.KB
Kodagu,IN.KA.KD
Koderma,IN.JH.KO
Kohima,IN.NL.KH
Kokrajhar,IN.AS.KJ
Kolar,IN.KA.KO
Kolasib,IN.MZ.KO
Kolhapur,IN.MH.KO
Kolkata,IN.WB.KO
Kollam,IN.KL.KL
Koppal,IN.KA.KP
Koraput,IN.OR.KO
Korba,IN.CT.KB
Koriya,IN.CT.KJ
Kota,IN.RJ.KO
Kottayam,IN.KL.KT
Kozhikode,IN.KL.KZ
Krishna,IN.AD.KR
Krishnagiri,IN.TN.KG
Kulgam,IN.JK.KG
Kulu,IN.HP.KU
Kupwara,IN.JK.KU
Kurnool,IN.AD.KU
Kurukshetra,IN.HR.KU
Kurung Kumey,IN.AR.KK
Kushinagar,IN.UP.KU
Lahaul and Spiti,IN.HP.LS
Lakhimpur,IN.AS.LA
Lakhimpur Kheri,IN.UP.LK
Lakhisarai,IN.BR.LA
Lakshadweep,IN.LD.LD
Lalitpur,IN.UP.LA
Latehar,IN.JH.LA
Latur,IN.MH.LA
Lawngtlai,IN.MZ.LA
Leh,IN.JK.LE
Lohardaga,IN.JH.LO
Lohit,IN.AR.LH
Lower Dibang Valley,IN.AR.DL
Lower Subansiri,IN.AR.LS
Lucknow,IN.UP.LU
Ludhiana,IN.PB.LU
Lunglei,IN.MZ.LU
Madhepura,IN.BR.MP
Madhubani,IN.BR.MB
Madurai,IN.TN.MA
Maharajganj,IN.UP.MG
Mahasamund,IN.CT.MA
Mahbubnagar,IN.TG.MA
Mahe,IN.PY.MA
Mahendragarh,IN.HR.MA
Mahesana,IN.GJ.MA
Mahoba,IN.UP.MH
Mainpuri,IN.UP.MP
Malappuram,IN.KL.MA
Malda,IN.WB.MA
Malkangiri,IN.OR.ML
Mamit,IN.MZ.MA
Mandi,IN.HP.MA
Mandla,IN.MP.ML
Mandsaur,IN.MP.MS
Mandya,IN.KA.MA
Mansa,IN.PB.MA
Marigaon,IN.AS.MA
Mathura,IN.UP.MT
Maunathbhanjan,IN.UP.MB
Mayurbhanj,IN.OR.MY
Medak,IN.TG.ME
Meerut,IN.UP.ME
Mewat,IN.HR.MW
Mirzapur,IN.UP.MI
Moga,IN.PB.MO
Mohali,IN.PB.AJ
Mokokchung,IN.NL.MK
Mon,IN.NL.MN
Moradabad,IN.UP.MO
Morena,IN.MP.MO
Muktsar,IN.PB.MU
Mumbai City,IN.MH.MC
Mumbai Suburban,IN.MH.MU
Munger,IN.BR.MG
Murshidabad,IN.WB.MU
Muzaffarnagar,IN.UP.MU
Muzaffarpur,IN.BR.MZ
Mysore,IN.KA.MY
Nabarangpur,IN.OR.NB
Nadia,IN.WB.NA
Nagaon,IN.AS.NG
Nagapattinam,IN.TN.NG
Nagaur,IN.RJ.NA
Nagpur,IN.MH.NG
Nainital,IN.UT.NA
Nalanda,IN.BR.NL
Nalbari,IN.AS.NB
Nalgonda,IN.TG.NA
Namakkal,IN.TN.NM
Nanded,IN.MH.ND
Nandurbar,IN.MH.NB
Narayanpur,IN.CT.NA
Narmada,IN.GJ.NR
Narsinghpur,IN.MP.NA
Nashik,IN.MH.NS
Navsari,IN.GJ.NV
Nawada,IN.BR.NW
Nawan Shehar,IN.PB.NS
Nayagarh,IN.OR.NY
Neemuch,IN.MP.NE
Nellore,IN.AD.NE
New Delhi,IN.DL.ND
Nicobar Islands,IN.AN.NI
Nilgiris,IN.TN.NI
Nizamabad,IN.TG.NI
North,IN.DL.NO
North and Middle Andaman,IN.AN.NM
North East,IN.DL.NE
North Goa,IN.GA.NG
North Sikkim,IN.SK.NS
North Tripura,IN.TR.NT
North West,IN.DL.NW
Nuapada,IN.OR.NU
Osmanabad,IN.MH.OS
Pakur,IN.JH.PK
Palakkad,IN.KL.PL
Palamu,IN.JH.PM
Pali,IN.RJ.PA
Palwal,IN.HR.PW
Panchkula,IN.HR.PK
Panch Mahals,IN.GJ.PM
Panipat,IN.HR.PP
Panna,IN.MP.PA
Papum Pare,IN.AR.PA
Parbhani,IN.MH.PA
Paschim Medinipur,IN.WB.WM
Pashchim Champaran,IN.BR.WC
Pashchim Singhbhum,IN.JH.WS
Patan,IN.GJ.PA
Pathanamthitta,IN.KL.PT
Patiala,IN.PB.PT
Patna,IN.BR.PA
Pauri Garhwal,IN.UT.PG
Perambalur,IN.TN.PE
Peren,IN.NL.PE
Phek,IN.NL.PH
Pilibhit,IN.UP.PI
Pithoragarh,IN.UT.PI
Pondicherry,IN.PY.PO
Poonch,IN.JK.PO
Porbandar,IN.GJ.PO
Prakasam,IN.AD.PR
Pratapgarh,IN.RJ.PR
Pratapgarh,IN.UP.PR
Pudukkottai,IN.TN.PU
Pulwama,IN.JK.PW
Pune,IN.MH.PU
Purba Champaran,IN.BR.EC
Purba Medinipur,IN.WB.EM
Purba Singhbhum,IN.JH.ES
Puri,IN.OR.PU
Purnia,IN.BR.PU
Purulia,IN.WB.PU
Rae Bareli,IN.UP.RB
Raichur,IN.KA.RA
Raigarh,IN.CT.RG
Raigarh,IN.MH.RG
Raipur,IN.CT.RP
Raisen,IN.MP.RS
Rajauri,IN.JK.RA
Rajgarh,IN.MP.RG
Rajkot,IN.GJ.RA
Rajnandgaon,IN.CT.RN
Rajsamand,IN.RJ.RA
Ramanagara,IN.KA.RM
Ramanathapuram,IN.TN.RA
Ramban,IN.JK.RB
Ramgarh,IN.JH.RM
Rampur,IN.UP.RA
Ranchi,IN.JH.RN
Rangareddi,IN.TG.RA
Ratlam,IN.MP.RL
Ratnagiri,IN.MH.RT
Rayagada,IN.OR.RA
Reasi,IN.JK.RE
Rewa,IN.MP.RE
Rewari,IN.HR.RE
Ri-Bhoi,IN.ML.RB
Rohtak,IN.HR.RO
Rohtas,IN.BR.RO
Rudra Prayag,IN.UT.RP
Rupnagar,IN.PB.RP
Sabar Kantha,IN.GJ.SK
Sagar,IN.MP.SG
Saharanpur,IN.UP.SA
Saharsa,IN.BR.SH
Sahibganj,IN.JH.SA
Saiha,IN.MZ.SA
Salem,IN.TN.SA
Samastipur,IN.BR.SM
Samba,IN.JK.SM
Sambalpur,IN.OR.SA
Sangli,IN.MH.SN
Sangrur,IN.PB.SR
Sant Kabir Nagar,IN.UP.SK
Sant Ravi Das Nagar,IN.UP.SR
Saran,IN.BR.SR
Satara,IN.MH.ST
Satna,IN.MP.ST
Sawai Madhopur,IN.RJ.SM
Sehore,IN.MP.SR
Senapati,IN.MN.SE
Seoni,IN.MP.SO
Seraikela,IN.JH.SK
Serchhip,IN.MZ.SE
Shahdol,IN.MP.SL
Shahjahanpur,IN.UP.SJ
Shajapur,IN.MP.SJ
Sheikhpura,IN.BR.SP
Sheohar,IN.BR.SO
Sheopur,IN.MP.SP
Shimla,IN.HP.SH
Shimoga,IN.KA.SH
Shivpuri,IN.MP.SV
Shravasti,IN.UP.SV
Shupiyan,IN.JK.SH
Sibsagar,IN.AS.SI
Siddharth Nagar,IN.UP.SN
Sidhi,IN.MP.SD
Sikar,IN.RJ.SK
