State,Year,Quarter,District,RegisteredUsers,AppOpens,TransactionCount,TransactionAmount
Andaman & Nicobar Islands,2018,1,South Andaman,5846,0,5688,12560249.34366581
Andaman & Nicobar Islands,2018,1,North And Middle Andaman,632,0,442,931663.0770939873
Andaman & Nicobar Islands,2018,2,Nicobars,351,0,1120,3072436.9081196385
Andaman & Nicobar Islands,2018,2,South Andaman,8143,0,9395,23948235.51634325
Andaman & Nicobar Islands,2018,2,North And Middle Andaman,911,0,825,1317863.0834906558
Andaman & Nicobar Islands,2018,3,Nicobars,467,0,1471,6387829.151558982
Andaman & Nicobar Islands,2018,3,South Andaman,10474,0,13511,44268112.46425246
Andaman & Nicobar Islands,2018,3,North And Middle Andaman,1208,0,1283,4901529.518499676
Andaman & Nicobar Islands,2018,4,Nicobars,536,0,1485,7180859.354911782
Andaman & Nicobar Islands,2018,4,South Andaman,13133,0,20136,75411840.8018554
Andaman & Nicobar Islands,2018,4,North And Middle Andaman,1553,0,2137,7955635.917688001
Tamil Nadu,2022,1,Coimbatore,1687096,27741808,30679187,51963955887.092926
Tamil Nadu,2022,1,Thanjavur,445883,13460902,2942810,6384285130.794783
Tamil Nadu,2022,1,Krishnagiri,776101,41868147,11729353,20650466208.670742
Tamil Nadu,2022,1,Chennai,2388315,10870012,87458453,135444152912.82495
Tamil Nadu,2022,1,Viluppuram,379264,17225194,2943580,5372428494.6229515
Tamil Nadu,2022,1,Tenkasi,204182,9468909,1345693,3196885065.5183153
Tamil Nadu,2022,1,Tiruchirappalli,688562,20900419,5422369,11360010997.109035
Tamil Nadu,2022,1,Dindigul,440072,27821213,3965199,8412785022.744812
Tamil Nadu,2022,1,Thoothukkudi,327607,16229136,2388242,5004713169.898031
Tamil Nadu,2022,1,Dharmapuri,404709,29735879,4750920,10116593522.472927
Tamil Nadu,2022,1,Theni,245438,12750343,2063736,4611206982.381892
Tamil Nadu,2022,1,Perambalur,112667,8040859,834022,1744613505.1576376
Tamil Nadu,2022,1,Kancheepuram,1158719,11803314,13219354,19642924522.879723
Tamil Nadu,2022,1,Kallakkurichi,306623,15612591,2421741,5048000351.991163
Tamil Nadu,2022,1,Tirunelveli,338716,13100432,2585793,5381065070.681534
Tamil Nadu,2022,1,Kanniyakumari,370820,5009074,2597045,5779300862.137162
Tamil Nadu,2022,1,Nagapattinam,226781,9648543,1501440,3137077070.316338
Tamil Nadu,2022,1,Tiruppur,1014036,24784887,12755181,20994558968.024055
Tamil Nadu,2022,1,Salem,905104,31202884,13278693,26325325605.86054
Tamil Nadu,2022,1,The Nilgiris,173188,9788145,1729884,3144464483.74693
Tamil Nadu,2022,1,Madurai,820952,18688722,7084562,15309320989.586184
Tamil Nadu,2022,1,Namakkal,399282,14545554,3415879,7554607821.660087
Tamil Nadu,2022,1,Virudhunagar,346363,17177364,2550440,5676327115.346463
Tamil Nadu,2022,1,Karur,222853,16310834,1831500,3768124397.8555865
Tamil Nadu,2022,1,Erode,589462,16683133,6860000,12788323701.473593
Tamil Nadu,2022,1,Ramanathapuram,210698,17777779,1425024,3361169634.3715773
Tamil Nadu,2022,1,Pudukkottai,237115,22854053,1639483,3677396086.543876
Tamil Nadu,2022,1,Thiruvarur,170694,9618776,1013347,2334746608.8726997
Tamil Nadu,2022,1,Chengalpattu,1621177,16221250,19802491,27209616572.77708
Tamil Nadu,2022,1,Sivaganga,241188,20384928,1828509,4101854018.7768383
Tamil Nadu,2022,1,Thiruvallur,1970646,24538065,21243322,35412374869.409676
Tamil Nadu,2022,1,Tirupathur,317064,12811064,3403925,6408532952.989394
Tamil Nadu,2022,1,Ariyalur,134075,8238011,898502,1840235658.86316
Tamil Nadu,2022,1,Ranipet,325358,10227642,2755460,5529848785.373485
Tamil Nadu,2022,1,Vellore,449961,11694691,4693455,9294845509.816792
Tamil Nadu,2022,1,Tiruvannamalai,489026,28400548,3659658,7478979872.636584
Tamil Nadu,2022,1,Cuddalore,527223,15255170,3854898,7328083169.35031
Tamil Nadu,2022,2,Coimbatore,1775760,32370054,36695888,59260276493.12476
Tamil Nadu,2022,2,Thanjavur,470070,14935622,3489101,7198941291.2239
Tamil Nadu,2022,2,Krishnagiri,818552,49292179,13942838,24721054679.65894
Tamil Nadu,2022,2,Chennai,2509588,9484073,105344784,154665269695.64178
Tamil Nadu,2022,2,Viluppuram,400301,18554839,3359417,5986428096.992262
Tamil Nadu,2022,2,Tenkasi,215290,11631764,1627020,3744115676.153031
Tamil Nadu,2022,2,Tiruchirappalli,725751,23738205,6270815,12634551299.241276
Tamil Nadu,2022,2,Dindigul,464161,33849388,4742064,9862085177.478687
Tamil Nadu,2022,2,Thoothukkudi,345560,20332081,2904687,5842566259.232948
