State,District,Theft_2017,Theft_2018,Theft_2019,RegisteredUsers_2017,RegisteredUsers_2018,TransactionVolume_2018,RegisteredUsers_2019,TransactionVolume_2019,Population_2011,size_group
Assam,Hailakandi,132.0,142.0,227.0,5700.0,20697.0,109195.0,36398.0,228733.0,659296.0,1.0
Assam,Hojai,207.0,232.0,181.0,7571.0,23708.0,136650.0,41444.0,304947.0,,
Assam,Jorhat,666.0,577.0,587.0,16442.0,48594.0,276580.0,78731.0,607779.0,1092256.0,2.0
Assam,Kamrup,528.0,811.0,822.0,15241.0,54910.0,397714.0,95973.0,854236.0,1517542.0,3.0
Assam,Karbi Anglong,128.0,214.0,170.0,5694.0,20131.0,123796.0,35507.0,303580.0,956313.0,2.0
Assam,Karimganj,259.0,274.0,378.0,7367.0,29208.0,154401.0,54439.0,352020.0,1228686.0,2.0
Assam,Kokrajhar,310.0,263.0,273.0,6566.0,21029.0,137341.0,36818.0,286233.0,887142.0,2.0
Assam,Lakhimpur,265.0,183.0,340.0,8143.0,31154.0,192588.0,56008.0,418535.0,1042137.0,2.0
Assam,Majuli,16.0,14.0,15.0,1274.0,4861.0,35075.0,8656.0,68943.0,,
Assam,Marigaon,257.0,389.0,353.0,7193.0,26319.0,484997.0,59197.0,542387.0,957423.0,2.0
Assam,Nagaon,718.0,728.0,744.0,19619.0,66306.0,749827.0,129371.0,1043342.0,,
Assam,Nalbari,274.0,263.0,260.0,6874.0,24925.0,148121.0,44217.0,313556.0,771639.0,1.0
Assam,Sivasagar,331.0,366.0,463.0,8292.0,28059.0,156223.0,49024.0,361318.0,1151050.0,2.0
Assam,Sonitpur,419.0,501.0,399.0,18986.0,62218.0,416370.0,105050.0,946185.0,1924110.0,3.0
Assam,South Salmara Mancachar,94.0,93.0,70.0,2420.0,8674.0,66040.0,16486.0,142091.0,,
Assam,Tinsukia,745.0,672.0,709.0,15998.0,51108.0,326051.0,86763.0,716548.0,1327929.0,2.0
Assam,Udalguri,197.0,157.0,225.0,4768.0,19336.0,134268.0,35735.0,255166.0,831668.0,2.0
Bihar,Araria,342.0,401.0,530.0,30576.0,95297.0,617576.0,168149.0,1379411.0,,
Bihar,Arwal,131.0,163.0,218.0,11087.0,32098.0,245956.0,51903.0,631699.0,700843.0,1.0
Bihar,Aurangabad,208.0,284.0,412.0,42349.0,123845.0,896125.0,204230.0,2275859.0,3701282.0,4.0
Bihar,Banka,212.0,255.0,355.0,19504.0,62041.0,308399.0,108516.0,742828.0,2034763.0,3.0
Bihar,Begusarai,567.0,601.0,643.0,57409.0,155497.0,889100.0,251505.0,2050279.0,,
Bihar,Bhagalpur,1102.0,1007.0,1180.0,76063.0,195057.0,1322527.0,311744.0,2864737.0,3037766.0,4.0
Bihar,Bhojpur,647.0,818.0,868.0,50363.0,143568.0,855146.0,230828.0,2011687.0,,
Bihar,Buxar,486.0,557.0,542.0,27689.0,81116.0,464483.0,133361.0,1096970.0,1706352.0,3.0
Bihar,Darbhanga,553.0,568.0,734.0,74414.0,202521.0,1469109.0,332707.0,3353507.0,3937385.0,4.0
Bihar,Gaya,1423.0,1440.0,1544.0,91015.0,245773.0,2200582.0,398678.0,4848181.0,4391418.0,4.0
Bihar,Gopalganj,354.0,436.0,611.0,41306.0,125180.0,790613.0,221572.0,1998947.0,2562012.0,4.0
Bihar,Jamui,116.0,161.0,240.0,23266.0,70521.0,383181.0,122675.0,1228761.0,1760405.0,3.0
Bihar,Jehanabad,255.0,353.0,362.0,20394.0,56497.0,463220.0,92507.0,1049966.0,1125313.0,2.0
Bihar,Kaimur Bhabua,337.0,420.0,432.0,22464.0,66307.0,463448.0,111817.0,1078244.0,,
Bihar,Katihar,737.0,731.0,622.0,44233.0,124680.0,974220.0,213750.0,2423962.0,3071029.0,4.0
Bihar,Khagaria,231.0,190.0,300.0,25026.0,70139.0,494246.0,115815.0,1050337.0,1666886.0,3.0
Bihar,Kishanganj,320.0,390.0,290.0,16507.0,54620.0,331569.0,98189.0,837557.0,1690400.0,3.0
Bihar,Lakhisarai,84.0,144.0,212.0,18119.0,50294.0,351541.0,80730.0,733463.0,1000912.0,2.0
Bihar,Madhepura,315.0,314.0,363.0,26881.0,75876.0,564767.0,131288.0,1195387.0,2001762.0,3.0
Bihar,Madhubani,466.0,427.0,643.0,66664.0,195036.0,1294505.0,328630.0,3186481.0,4487379.0,4.0
Bihar,Munger,165.0,206.0,206.0,32219.0,84548.0,478839.0,131943.0,1107744.0,1367765.0,2.0
Bihar,Muzaffarpur,2731.0,3049.0,2952.0,125298.0,309416.0,2789424.0,498548.0,5950126.0,4801062.0,4.0
Bihar,Nalanda,847.0,798.0,905.0,75201.0,189924.0,2078306.0,294598.0,3818164.0,,
Bihar,Nawada,374.0,523.0,587.0,32228.0,94644.0,631033.0,161254.0,1627041.0,2219146.0,3.0
Bihar,Pashchim Champaran,596.0,789.0,834.0,67656.0,197074.0,1531433.0,334931.0,3618849.0,3935042.0,4.0
Bihar,Patna,5445.0,6635.0,8040.0,425009.0,964432.0,9464518.0,1397342.0,51956124.0,5838465.0,4.0
Bihar,Purbi Champaran,1024.0,1231.0,1455.0,87561.0,252394.0,1904136.0,431458.0,4468397.0,5099371.0,4.0
Bihar,Purnia,500.0,442.0,636.0,51858.0,141631.0,910585.0,242090.0,2137939.0,3264619.0,4.0
Bihar,Rohtas,1108.0,1149.0,1189.0,64983.0,174877.0,1718258.0,278266.0,3305758.0,,
Bihar,Saharsa,363.0,358.0,477.0,32380.0,88171.0,637942.0,147506.0,1494901.0,1900661.0,3.0
Bihar,Samastipur,527.0,636.0,721.0,76068.0,204544.0,1469219.0,334935.0,3174321.0,4261566.0,4.0
Bihar,Saran,1214.0,1318.0,1414.0,63245.0,197928.0,1273060.0,335039.0,3157641.0,3951862.0,4.0
Bihar,Sheikhpura,105.0,160.0,137.0,10567.0,29154.0,140573.0,47727.0,359800.0,636342.0,1.0
Bihar,Sheohar,49.0,73.0,70.0,7645.0,21941.0,158610.0,37408.0,375800.0,656246.0,1.0
Bihar,Sitamarhi,575.0,855.0,855.0,47288.0,132501.0,958201.0,223782.0,2177069.0,3423574.0,4.0
Bihar,Siwan,714.0,905.0,969.0,52000.0,160063.0,985265.0,282776.0,2560124.0,3330464.0,4.0
Bihar,Supaul,313.0,314.0,347.0,29348.0,86568.0,579060.0,150088.0,1275417.0,2229076.0,3.0
