State,District,Theft_2017,Murder_2017,RegisteredUsers_2017,Theft_2018,Murder_2018,RegisteredUsers_2018,TransactionVolume_2018,Theft_2019,Murder_2019,RegisteredUsers_2019,TransactionVolume_2019,Theft_2022,Murder_2022,RegisteredUsers_2022,TransactionVolume_2022,Theft_2023,Murder_2023,RegisteredUsers_2023,TransactionVolume_2023
Assam,Baksa,121.0,30.0,6082.0,153.0,27.0,24926.0,172533.0,171.0,35.0,46215.0,345039.0,48.0,15.0,124070.0,3791185.0,74.0,12.0,148269.0,11507984.0
Assam,Barpeta,639.0,50.0,20485.0,609.0,57.0,67729.0,541412.0,742.0,47.0,116286.0,1049575.0,228.0,31.0,294210.0,17103772.0,192.0,32.0,348707.0,47108796.0
Assam,Biswanath,149.0,38.0,5164.0,131.0,39.0,19050.0,129729.0,151.0,44.0,33906.0,288046.0,72.0,35.0,88588.0,2513240.0,81.0,48.0,105545.0,7656319.0
Assam,Bongaigaon,386.0,16.0,9724.0,433.0,32.0,29773.0,184202.0,329.0,18.0,51420.0,395850.0,270.0,21.0,133489.0,6366028.0,306.0,19.0,158662.0,19124289.0
Assam,Cachar,733.0,53.0,19567.0,1023.0,57.0,64241.0,451497.0,1096.0,67.0,111470.0,900968.0,947.0,60.0,282643.0,9913555.0,782.0,44.0,334056.0,29631972.0
Assam,Charaideo,80.0,32.0,4366.0,51.0,27.0,15161.0,106198.0,88.0,30.0,26316.0,223997.0,74.0,33.0,66846.0,1967650.0,57.0,25.0,79777.0,4585952.0
Assam,Chirang,144.0,13.0,3487.0,123.0,23.0,11867.0,65927.0,88.0,23.0,21489.0,160952.0,105.0,14.0,60134.0,2326559.0,43.0,13.0,71942.0,7060037.0
Assam,Darrang,319.0,34.0,8050.0,203.0,26.0,27070.0,187273.0,215.0,23.0,45755.0,335222.0,167.0,31.0,118372.0,6678937.0,120.0,31.0,141177.0,20390696.0
Assam,Dhemaji,147.0,14.0,6623.0,166.0,21.0,24052.0,146436.0,177.0,26.0,43124.0,330098.0,111.0,17.0,112754.0,2947324.0,94.0,20.0,134064.0,8523681.0
Assam,Dhubri,689.0,46.0,11421.0,646.0,23.0,36652.0,260150.0,907.0,43.0,62477.0,480758.0,286.0,35.0,170279.0,8020649.0,248.0,30.0,202576.0,28264348.0
